config_id,C,gamma,mean_macro_f1,sd_macro_f1,mean_balanced_accuracy,sd_balanced_accuracy,mean_accuracy
8,30.0,0.3,0.6274024977023012,0.03856997757454292,0.6300219206869307,0.04525074492571155,0.7854041704387231
6,1.0,0.3,0.6229711789503588,0.028826204807563562,0.6555334989383599,0.04818062983312952,0.7627488171044488
7,100.0,0.1,0.6210162136017272,0.027301848398369705,0.6501182008924218,0.03711947371308295,0.7799257806089607
3,30.0,0.1,0.6208121363106947,0.0302177066040667,0.6553028123868174,0.04393089020301898,0.7773953621709292
11,0.5,0.3,0.6134474715614762,0.02975516736845473,0.654844388604509,0.04973359218574841,0.7459908221463175
2,10.0,scale,0.60623678706869,0.023877135161030086,0.6786418342982445,0.03984278015164655,0.7526856283137995
1,100.0,0.03,0.6020401239166987,0.026717797493601963,0.6621028272933065,0.040523353621266425,0.7540691781245453
5,1.0,0.1,0.5991329763576649,0.02244497824112733,0.6798788586641465,0.0416613776633857,0.7418982306356015
4,10.0,0.03,0.5872981190483234,0.016816652569034026,0.6753685430088044,0.03508946903497151,0.7346605890285606
9,3.0,0.03,0.5699171369131877,0.01807532396528977,0.6720004214478208,0.03586940477455562,0.7189469333908729
10,0.5,scale,0.5628991905839006,0.020043400850402522,0.6711509220758488,0.034529966196226176,0.7088687802278945
12,10.0,0.01,0.5511017839493892,0.018658943781364044,0.6664201250881205,0.030801584814183505,0.6969166943871243
