scheme,mapping,accuracy,balanced_accuracy,macro_f1,n_classes,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high
eight_class_original,none,0.8517747372595678,0.7373851152961828,0.7386430582045277,8,0.8054281174216541,0.8907552280243495,0.6792948199286312,0.793845481746248,0.6765475966630504,0.7827234642441637
merge_IAB_IOAB,IAB->ARC_OCEANIC|IOAB->ARC_OCEANIC,0.8537576839183026,0.739079568817879,0.7304809818894793,7,0.8107006843904575,0.8931634567222825,0.680993463810482,0.8004590046783412,0.6633616267275956,0.779345078867467
merge_BABB_MORB,BABB->RIDGE_BACKARC|MORB->RIDGE_BACKARC,0.8577235772357723,0.7700186448599349,0.7728504780231786,7,0.8136746267603069,0.8975942214496979,0.7169215952018593,0.8296600235737316,0.7111044830281577,0.8184670187475492
merge_both_boundaries,IAB->ARC_OCEANIC|IOAB->ARC_OCEANIC|BABB->RIDGE_BACKARC|MORB->RIDGE_BACKARC,0.8597065238945072,0.7774344288958724,0.7690292922920641,6,0.8139571089450219,0.8983367842910375,0.7207883807566183,0.8395082062800748,0.7014070380684333,0.8220110809461678
