metric,mean_native_minus_imputed,min_fold_difference,max_fold_difference
accuracy,0.002730771271573329,-0.00025644313373507366,0.00764101139205331
balanced_accuracy,0.002913995499238964,-0.001949123625715532,0.010246033405496346
macro_f1,0.0023327057981165746,-0.0018364700368563858,0.009639158753045884
