minimum_samples_per_publication,n_publications,n_samples,publication_equal_mean_accuracy,publication_accuracy_median,n_publications_accuracy_below_0_5,percent_publications_accuracy_below_0_5,n_publications_accuracy_zero,percent_publications_accuracy_zero
1,462,10086,0.7937322577965662,0.9696691176470589,70,15.151515151515152,32,6.926406926406926
2,395,10019,0.7941881091190218,0.9393939393939394,56,14.177215189873419,18,4.556962025316456
3,361,9951,0.8038900362936664,0.9365079365079365,48,13.29639889196676,10,2.7700831024930745
5,315,9795,0.8120242426518949,0.9333333333333333,39,12.380952380952381,6,1.9047619047619049
10,242,9292,0.8317441358669064,0.9473684210526315,28,11.570247933884298,4,1.6528925619834711
20,138,7858,0.8275906261822489,0.9607692307692308,19,13.768115942028986,3,2.1739130434782608
