training_design,cohort,n_runs,publication_equal_recall_mean,publication_equal_recall_median,publication_equal_recall_min,publication_equal_recall_max,publication_equal_recall_q025,publication_equal_recall_q975
full_exclusive_support,GEOROC_frozen_test_MORB,1,0.3875634270101483,0.3875634270101483,0.3875634270101483,0.3875634270101483,0.3875634270101483,0.3875634270101483
full_exclusive_support,PetDB_frozen_test_MORB,1,0.8563455715504896,0.8563455715504896,0.8563455715504896,0.8563455715504896,0.8563455715504896,0.8563455715504896
georoc_only_support,GEOROC_frozen_test_MORB,1,0.01986566484517304,0.01986566484517304,0.01986566484517304,0.01986566484517304,0.01986566484517304,0.01986566484517304
georoc_only_support,PetDB_frozen_test_MORB,1,0.053188539087177335,0.053188539087177335,0.053188539087177335,0.053188539087177335,0.053188539087177335,0.053188539087177335
support_matched_random_MORB,GEOROC_frozen_test_MORB,20,0.026943062060889932,0.016080373406193078,0.0,0.08543943533697632,0.0,0.07544703844652612
support_matched_random_MORB,PetDB_frozen_test_MORB,20,0.3602252319418565,0.34742152400260495,0.16505496492249505,0.5036409631329352,0.18893479509700625,0.4965548908384033
