CV_GROUP_V4,TRUE_LABEL,n_samples,accuracy,mean_max_probability,mean_entropy,mean_element_coverage,publication_year,database
PAPER|GEOROC|CITATION_ID|13460,IOAB,16,1.0,0.9882725906250001,0.06432464406874999,18.0,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|13519,CFB,18,0.9444444444444444,0.9283685277777778,0.24962807244444443,18.0,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|13521,OIB,22,1.0,0.9725677381818181,0.13935535627272727,17.09090909090909,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|13608,CFB,33,0.9393939393939394,0.9385335378787879,0.19744567406060606,17.0,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|13762,IAB,20,0.2,0.6353380989999999,0.9676334815000001,14.0,2005.0,GEOROC
PAPER|GEOROC|CITATION_ID|13871,CFB,10,1.0,0.827666374,0.547486892,19.0,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|13872,CFB,11,0.6363636363636364,0.6653810709090909,0.8727182572727272,10.0,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|1398,OIB,1,0.0,0.58997756,1.0057012,10.0,1966.0,GEOROC
PAPER|GEOROC|CITATION_ID|13990,CAB,2,0.0,0.6852231049999999,0.958228815,19.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|1400,OIB,1,1.0,0.98770136,0.08462109,10.0,1964.0,GEOROC
PAPER|GEOROC|CITATION_ID|1403,OIB,15,1.0,0.8737940846666666,0.3869690826666667,10.0,1962.0,GEOROC
PAPER|GEOROC|CITATION_ID|1407,OIB,22,0.7272727272727273,0.6725547627272728,0.7585081627272726,18.272727272727273,1995.0,GEOROC
PAPER|GEOROC|CITATION_ID|1418,OIB,1,1.0,0.96839327,0.16673,18.0,1971.0,GEOROC
PAPER|GEOROC|CITATION_ID|14184,CFB,35,1.0,0.9328800408571429,0.28516520034285714,17.62857142857143,2009.0,GEOROC
PAPER|GEOROC|CITATION_ID|1429,OIB,3,1.0,0.8722505333333334,0.4249342133333333,10.0,1962.0,GEOROC
PAPER|GEOROC|CITATION_ID|1433,OIB,8,0.875,0.93779067375,0.25368477925,10.0,1931.0,GEOROC
PAPER|GEOROC|CITATION_ID|1435,OIB,9,1.0,0.9772457722222223,0.11700801188888889,10.0,1938.0,GEOROC
PAPER|GEOROC|CITATION_ID|14391,CAB,13,1.0,0.9129638830769231,0.2801698447692308,16.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|1442,OIB,15,0.7333333333333333,0.7281847193333333,0.6773069526666667,10.0,1964.0,GEOROC
PAPER|GEOROC|CITATION_ID|14432,CFB,119,1.0,0.937802213697479,0.19003303363109242,18.95798319327731,2000.0,GEOROC
PAPER|GEOROC|CITATION_ID|1445,OIB,7,0.8571428571428571,0.7685804542857142,0.6832916328571429,11.714285714285714,1976.0,GEOROC
PAPER|GEOROC|CITATION_ID|14457,CFB,7,1.0,0.9079698800000001,0.2506535637142857,19.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|14499,OIB,29,0.9655172413793104,0.9592856413793103,0.15764962072413793,19.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|1461,OIB,1,1.0,0.7735898,0.66124666,10.0,1954.0,GEOROC
PAPER|GEOROC|CITATION_ID|14631,CFB,9,0.8888888888888888,0.9556142066666666,0.12386135105555557,19.0,1998.0,GEOROC
PAPER|GEOROC|CITATION_ID|1467,OIB,2,1.0,0.8808125,0.43771616,10.0,1939.0,GEOROC
PAPER|GEOROC|CITATION_ID|14706,CFB,6,0.5,0.6916693,0.840368795,11.333333333333334,1988.0,GEOROC
PAPER|GEOROC|CITATION_ID|14732,OIB,5,1.0,0.839624004,0.47743667,18.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|14766,CFB,10,0.9,0.8736373900000001,0.3886624656,19.0,1990.0,GEOROC
PAPER|GEOROC|CITATION_ID|14774,CFB,26,0.9230769230769231,0.9080890261538461,0.2847265091538462,17.692307692307693,1991.0,GEOROC
PAPER|GEOROC|CITATION_ID|14788,CFB,32,0.84375,0.8830986165625,0.3682514036875,18.4375,1992.0,GEOROC
PAPER|GEOROC|CITATION_ID|14853,OIB,12,1.0,0.9753264191666666,0.1328338395,19.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|14907,OIB,15,0.4,0.719389766,0.7681383106666666,18.333333333333332,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|1493,OIB,1,1.0,0.7305892,0.63326824,12.0,1999.0,GEOROC
PAPER|GEOROC|CITATION_ID|1495,OIB,1,0.0,0.6385405,0.823055,19.0,1999.0,GEOROC
PAPER|GEOROC|CITATION_ID|1496,OIB,15,0.9333333333333333,0.8609747566666667,0.36307098393333337,17.533333333333335,1999.0,GEOROC
PAPER|GEOROC|CITATION_ID|14983,CFB,76,1.0,0.9763752303947368,0.09694430211973684,17.81578947368421,1999.0,GEOROC
PAPER|GEOROC|CITATION_ID|14988,CFB,45,0.6222222222222222,0.6062267782222223,0.980212992,18.955555555555556,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15044,CFB,4,1.0,0.9469228,0.248036635,14.0,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15047,CFB,345,0.936231884057971,0.8992575136231885,0.3028647297921739,18.713043478260868,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15189,CFB,14,1.0,0.8964302592857143,0.32624777921428566,19.0,2006.0,GEOROC
PAPER|GEOROC|CITATION_ID|15229,OPB,14,0.7857142857142857,0.69743842,0.8692376399999999,17.142857142857142,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15233,MORB,61,0.7377049180327869,0.5935094059016394,1.0224498577868852,12.557377049180328,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|1539,OIB,3,1.0,0.97376842,0.13619328666666666,16.333333333333332,1975.0,GEOROC
PAPER|GEOROC|CITATION_ID|15530,CFB,2,0.5,0.69616505,0.6532603,10.0,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|1556,CFB,16,0.9375,0.8013975225,0.62680280375,19.0,1996.0,GEOROC
PAPER|GEOROC|CITATION_ID|15566,IOAB,14,1.0,0.9844964407142857,0.06985243881428571,18.5,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|1559,CFB,10,1.0,0.9978426239999999,0.0174190763,18.0,1999.0,GEOROC
PAPER|GEOROC|CITATION_ID|15593,IAB,7,0.7142857142857143,0.7266235942857142,0.7624310057142857,19.0,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15658,CFB,15,0.8666666666666667,0.8874338693333333,0.36283228819999996,19.0,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15751,IAB,4,0.0,0.56139001,1.090532325,15.0,1993.0,GEOROC
PAPER|GEOROC|CITATION_ID|15755,OIB,100,0.78,0.7419766957,0.7042319472399999,14.77,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|15816,CFB,13,0.6153846153846154,0.8331386584615385,0.4779559153846154,18.615384615384617,2011.0,GEOROC
PAPER|GEOROC|CITATION_ID|15983,OIB,26,1.0,0.9491611984615385,0.20263606096153847,16.0,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|15984,CFB,9,1.0,0.8042233555555556,0.5989930433333334,18.88888888888889,2010.0,GEOROC
PAPER|GEOROC|CITATION_ID|15993,OIB,60,0.9666666666666667,0.9311416531666666,0.20806357771666667,19.0,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16319,CFB,20,1.0,0.9936876769999999,0.038665392175,18.0,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16341,OIB,46,0.8913043478260869,0.7890958123913043,0.6028524253043479,18.108695652173914,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|1636,OPB,3,0.6666666666666666,0.7109671933333334,0.7902830999999999,19.0,1989.0,GEOROC
PAPER|GEOROC|CITATION_ID|16488,OIB,27,0.5925925925925926,0.5692674262962962,0.7847008718518518,15.0,2012.0,GEOROC
PAPER|GEOROC|CITATION_ID|16538,CFB,8,1.0,0.99738432,0.0197416508875,18.0,2010.0,GEOROC
