tectonic_class,n_publications,n_samples,publication_equal_mean_accuracy,publication_equal_mean_accuracy_ci_low,publication_equal_mean_accuracy_ci_high,publication_median_accuracy,publication_accuracy_q25,publication_accuracy_q75,sample_weighted_accuracy
CAB,16,84,0.6605902777777777,0.45572916666666663,0.8541666666666666,0.8888888888888888,0.375,1.0,0.8095238095238095
IAB,43,641,0.6893060686900934,0.585553077904528,0.7864227595450834,0.7368421052631579,0.5798319327731092,1.0,0.6677067082683308
IOAB,10,125,0.7403729603729604,0.5325509906759907,0.8953764568764568,0.8166666666666667,0.7518939393939394,0.9615384615384616,0.768
BABB,11,113,0.6047563547563547,0.3844655344655345,0.8073593073593074,0.7142857142857143,0.3333333333333333,0.9583333333333333,0.5398230088495575
MORB,66,908,0.831705047656985,0.7561561289055235,0.9006952059349135,1.0,0.8083333333333333,1.0,0.7918502202643172
OIB,163,2943,0.849791557382203,0.8074006413331098,0.889742238271448,1.0,0.8333333333333334,1.0,0.8950050968399592
OPB,19,518,0.43471666211632715,0.2658293760717584,0.6011586532119774,0.4,0.0,0.7428571428571429,0.5193050193050193
CFB,138,4754,0.8287174949385144,0.7849231457244451,0.8688604203861945,0.9577586206896551,0.7003105590062112,1.0,0.9078670593184687
