class,feature,bin,x_median,x_min,x_max,shap_median,shap_mean,shap_q25,shap_q75,n
CAB,TIO2(WT%),1,0.72,0.18,0.841,0.3301452696323395,0.3378939926624298,0.2497236728668213,0.4128366708755493,672
CAB,TIO2(WT%),2,0.96,0.847,1.05,0.49140220880508423,0.5026295781135559,0.33400437235832214,0.6503796577453613,681
CAB,TIO2(WT%),3,1.13,1.05253148949041,1.2,0.4339005947113037,0.47188982367515564,0.3357229232788086,0.5727669596672058,700
CAB,TIO2(WT%),4,1.274,1.201,1.35,0.24301528930664062,0.25492075085639954,0.15567730367183685,0.33911383152008057,661
CAB,TIO2(WT%),5,1.422,1.35107884654164,1.509,-0.01926732063293457,-0.010012595914304256,-0.13878343999385834,0.10022523254156113,645
CAB,TIO2(WT%),6,1.61,1.51,1.68,-0.4498494267463684,-0.5012795329093933,-0.7217214703559875,-0.29241943359375,673
CAB,TIO2(WT%),7,1.76,1.683,1.88,-0.8898522853851318,-0.8970628976821899,-1.0224591493606567,-0.7781966328620911,677
CAB,TIO2(WT%),8,1.98,1.88046538094356,2.08,-1.0451831817626953,-1.0712460279464722,-1.2312886714935303,-0.8959133625030518,684
CAB,TIO2(WT%),9,2.169,2.081,2.257,-1.1954920291900635,-1.2019574642181396,-1.3618128299713135,-1.0229636430740356,654
CAB,TIO2(WT%),10,2.36,2.2591119266197,2.461,-1.2155086994171143,-1.3016000986099243,-1.4807602167129517,-1.037034511566162,672
CAB,TIO2(WT%),11,2.57,2.46116,2.67,-1.8914011716842651,-1.9127085208892822,-2.2354085445404053,-1.567808985710144,675
CAB,TIO2(WT%),12,2.8,2.674,2.96,-2.0988330841064453,-2.09306001663208,-2.3894686698913574,-1.8001608848571777,680
CAB,TIO2(WT%),13,3.1,2.963,3.21,-2.479567050933838,-2.497979164123535,-2.720182418823242,-2.2713143825531006,672
CAB,TIO2(WT%),14,3.35,3.211,3.563,-2.565955638885498,-2.553820848464966,-2.8132593631744385,-2.338684320449829,660
CAB,TIO2(WT%),15,3.88,3.568,6.67,-2.689495325088501,-2.676651954650879,-2.9885478019714355,-2.4590868949890137,672
CAB,SR(PPM),1,93.0,0.524,108.0,-1.5801382064819336,-1.625749945640564,-1.8067458868026733,-1.4142283201217651,552
CAB,SR(PPM),2,124.0,108.041932173652,138.0,-1.7097314596176147,-1.727447509765625,-1.904756784439087,-1.5233792066574097,553
CAB,SR(PPM),3,150.0,138.047748261904,163.4,-1.7288655042648315,-1.730165958404541,-1.9066005945205688,-1.5073044300079346,544
CAB,SR(PPM),4,175.0,163.5,185.0,-1.7565473318099976,-1.759734034538269,-1.9725993871688843,-1.5449529886245728,567
CAB,SR(PPM),5,196.0,185.13351,206.6,-1.68389093875885,-1.7116276025772095,-1.9408252239227295,-1.4372496604919434,532
CAB,SR(PPM),6,221.0,206.72,235.0,-1.4835985898971558,-1.5124006271362305,-1.777746319770813,-1.2395472526550293,559
CAB,SR(PPM),7,247.0,235.255,260.0,-1.1800698041915894,-1.213395595550537,-1.417891263961792,-0.961554765701294,541
CAB,SR(PPM),8,274.1,260.172296,289.0,-1.142690658569336,-1.1904425621032715,-1.355729579925537,-0.9994154572486877,562
CAB,SR(PPM),9,304.0,290.0,313.0,-1.0639011859893799,-1.1071414947509766,-1.2797644138336182,-0.9325491189956665,536
CAB,SR(PPM),10,324.0,313.046309395204,337.56,-0.6442466974258423,-0.6404731273651123,-0.7953943610191345,-0.515877902507782,549
CAB,SR(PPM),11,356.0,337.638,379.0,-0.14380201697349548,-0.11309809237718582,-0.23901785910129547,-0.03454151004552841,551
CAB,SR(PPM),12,403.0,379.9,436.0,0.07084923982620239,0.13863009214401245,-0.04084461182355881,0.21929989755153656,554
CAB,SR(PPM),13,479.0,436.34,522.0,0.16788747906684875,0.24371805787086487,0.08855195343494415,0.31448155641555786,544
CAB,SR(PPM),14,589.711980702667,522.03,674.0,0.5413719415664673,0.6294074654579163,0.4008689224720001,0.8023127913475037,549
CAB,SR(PPM),15,827.95,675.0,6404.0,0.790275514125824,0.8609878420829773,0.6745399236679077,0.9685491919517517,550
IAB,CAO(WT%),1,6.35,0.3,7.0,0.5647632479667664,0.6419709920883179,0.34987232089042664,0.8328875303268433,673
IAB,CAO(WT%),2,7.62,7.01,8.09,0.6021732091903687,0.6291249990463257,0.42028993368148804,0.8158581852912903,670
IAB,CAO(WT%),3,8.38,8.096,8.58,0.44668692350387573,0.4988390803337097,0.2874774932861328,0.6782950162887573,675
IAB,CAO(WT%),4,8.8,8.59,9.01,0.4951152801513672,0.5410874485969543,0.3273426294326782,0.7221682667732239,683
IAB,CAO(WT%),5,9.21,9.02,9.4,0.24298839271068573,0.2690209150314331,0.07494394481182098,0.4229356050491333,661
IAB,CAO(WT%),6,9.58,9.4023,9.74,0.08721130341291428,0.1045117974281311,-0.07464153319597244,0.25134575366973877,682
IAB,CAO(WT%),7,9.89,9.74075544291428,10.02,-0.23596930503845215,-0.21055155992507935,-0.3891400694847107,-0.07510923594236374,658
IAB,CAO(WT%),8,10.16538546119695,10.0241304023237,10.3,-0.42716139554977417,-0.40355217456817627,-0.5570909380912781,-0.2825535535812378,696
IAB,CAO(WT%),9,10.43,10.302777,10.55,-0.78984135389328,-0.750573992729187,-0.936699628829956,-0.6321502923965454,665
IAB,CAO(WT%),10,10.67,10.5515357971782,10.79,-0.8404161930084229,-0.8027443289756775,-0.9721158146858215,-0.6870583891868591,669
IAB,CAO(WT%),11,10.9,10.7953271218577,11.03,-0.8897324800491333,-0.8489507436752319,-1.0272529125213623,-0.7295671105384827,656
IAB,CAO(WT%),12,11.17,11.04,11.3,-1.0951194763183594,-1.0559004545211792,-1.2584567070007324,-0.8659039735794067,671
IAB,CAO(WT%),13,11.5,11.30448,11.67,-1.4802782535552979,-1.4263845682144165,-1.6521587371826172,-1.2517971992492676,678
IAB,CAO(WT%),14,11.91,11.6759327621143,12.19639,-1.8636741638183594,-1.9155516624450684,-2.287538766860962,-1.5399482250213623,664
IAB,CAO(WT%),15,12.7375,12.198466304403,19.05,-2.435429573059082,-2.322984218597412,-2.7437336444854736,-1.8914637565612793,672
IAB,TIO2(WT%),1,0.72,0.18,0.841,0.4938676357269287,0.49158623814582825,0.2656715214252472,0.6997339725494385,672
IAB,TIO2(WT%),2,0.96,0.847,1.05,0.1007479876279831,0.13749350607395172,0.02028411254286766,0.218845933675766,681
IAB,TIO2(WT%),3,1.13,1.05253148949041,1.2,-0.049360647797584534,-0.04329729825258255,-0.10740376263856888,0.007054036483168602,700
IAB,TIO2(WT%),4,1.274,1.201,1.35,-0.15256695449352264,-0.15443167090415955,-0.23631928861141205,-0.07860308885574341,661
IAB,TIO2(WT%),5,1.422,1.35107884654164,1.509,-0.3018595278263092,-0.2994105815887451,-0.3673434555530548,-0.22344030439853668,645
IAB,TIO2(WT%),6,1.61,1.51,1.68,-0.3296206593513489,-0.3265760838985443,-0.39161592721939087,-0.23816189169883728,673
IAB,TIO2(WT%),7,1.76,1.683,1.88,-0.3165458142757416,-0.3190816640853882,-0.3874177932739258,-0.25100475549697876,677
IAB,TIO2(WT%),8,1.98,1.88046538094356,2.08,-0.34135061502456665,-0.3402782678604126,-0.44438761472702026,-0.2398015856742859,684
IAB,TIO2(WT%),9,2.169,2.081,2.257,-0.38667917251586914,-0.4205588698387146,-0.5832328200340271,-0.23359978199005127,654
IAB,TIO2(WT%),10,2.36,2.2591119266197,2.461,-0.6117792725563049,-0.6036446690559387,-0.7217044234275818,-0.43551576137542725,672
IAB,TIO2(WT%),11,2.57,2.46116,2.67,-0.5250554084777832,-0.5028790235519409,-0.6432467699050903,-0.32999712228775024,675
IAB,TIO2(WT%),12,2.8,2.674,2.96,-0.6100400686264038,-0.6050270795822144,-0.7867564558982849,-0.39553117752075195,680
IAB,TIO2(WT%),13,3.1,2.963,3.21,-0.7917746305465698,-0.7649737596511841,-0.9776841402053833,-0.5170395970344543,672
IAB,TIO2(WT%),14,3.35,3.211,3.563,-1.2288532257080078,-1.164241075515747,-1.34267258644104,-1.0123339891433716,660
IAB,TIO2(WT%),15,3.88,3.568,6.67,-1.252913236618042,-1.231423020362854,-1.4002023935317993,-1.05008065700531,672
IOAB,TIO2(WT%),1,0.72,0.18,0.841,0.9514281749725342,0.9920203685760498,0.7956269383430481,1.1210646629333496,672
IOAB,TIO2(WT%),2,0.96,0.847,1.05,-0.6549698114395142,-0.42398500442504883,-0.9757108092308044,0.2352762073278427,681
IOAB,TIO2(WT%),3,1.13,1.05253148949041,1.2,-2.0248026847839355,-1.9783326387405396,-2.228698253631592,-1.8159993886947632,700
IOAB,TIO2(WT%),4,1.274,1.201,1.35,-2.1736481189727783,-2.1786317825317383,-2.3773646354675293,-1.9866306781768799,661
IOAB,TIO2(WT%),5,1.422,1.35107884654164,1.509,-2.376650094985962,-2.3928985595703125,-2.579237222671509,-2.1632637977600098,645
IOAB,TIO2(WT%),6,1.61,1.51,1.68,-2.8942480087280273,-3.025827169418335,-3.2860021591186523,-2.7172815799713135,673
IOAB,TIO2(WT%),7,1.76,1.683,1.88,-2.8549466133117676,-2.950448751449585,-3.118290662765503,-2.673130512237549,677
IOAB,TIO2(WT%),8,1.98,1.88046538094356,2.08,-2.8690385818481445,-2.94592022895813,-3.099604845046997,-2.7027227878570557,684
IOAB,TIO2(WT%),9,2.169,2.081,2.257,-2.888383150100708,-2.9723317623138428,-3.1700680255889893,-2.7197771072387695,654
IOAB,TIO2(WT%),10,2.36,2.2591119266197,2.461,-2.9102225303649902,-3.042665481567383,-3.3775346279144287,-2.754514217376709,672
IOAB,TIO2(WT%),11,2.57,2.46116,2.67,-2.8761143684387207,-2.9819986820220947,-3.1624772548675537,-2.6961586475372314,675
IOAB,TIO2(WT%),12,2.8,2.674,2.96,-2.8888654708862305,-3.0070152282714844,-3.291810989379883,-2.711865186691284,680
IOAB,TIO2(WT%),13,3.1,2.963,3.21,-2.8308253288269043,-2.9308559894561768,-3.0477864742279053,-2.668651580810547,672
IOAB,TIO2(WT%),14,3.35,3.211,3.563,-2.8496837615966797,-2.9620914459228516,-3.0667660236358643,-2.6933345794677734,660
IOAB,TIO2(WT%),15,3.88,3.568,6.67,-2.8409547805786133,-3.048224925994873,-3.5120017528533936,-2.6550965309143066,672
IOAB,NB(PPM),1,1.173,0.0,2.0,0.3348414897918701,0.18742288649082184,-0.3318747878074646,0.5884936451911926,531
IOAB,NB(PPM),2,2.79,2.002,3.36,-2.2898173332214355,-2.3297104835510254,-2.6585865020751953,-1.9117910861968994,465
IOAB,NB(PPM),3,4.229132683614945,3.38,5.0,-2.7282838821411133,-2.821150779724121,-3.090559482574463,-2.4858195781707764,538
IOAB,NB(PPM),4,5.8,5.01537611932569,6.6,-2.741579055786133,-2.835631847381592,-3.1222591400146484,-2.5243687629699707,464
IOAB,NB(PPM),5,7.4,6.61,8.0,-2.7929623126983643,-2.817859172821045,-3.066830635070801,-2.5491106510162354,509
IOAB,NB(PPM),6,8.9916435,8.012,9.5,-2.797269821166992,-2.8258893489837646,-3.0537664890289307,-2.590898036956787,480
IOAB,NB(PPM),7,10.2,9.51,11.0,-2.742493152618408,-2.7685482501983643,-2.9942080974578857,-2.5414328575134277,505
IOAB,NB(PPM),8,12.0,11.01,13.0,-2.740217685699463,-2.748342275619507,-2.9494237899780273,-2.5487215518951416,552
IOAB,NB(PPM),9,14.0,13.01,15.0,-2.6967520713806152,-2.6739342212677,-2.87886381149292,-2.4945571422576904,476
IOAB,NB(PPM),10,16.2,15.05,17.1193149541295,-2.7722320556640625,-2.710611581802368,-2.870020627975464,-2.5623207092285156,448
IOAB,NB(PPM),11,18.9,17.1301434464806,20.8,-2.7034454345703125,-2.659681558609009,-2.848872184753418,-2.506542444229126,497
IOAB,NB(PPM),12,22.8,20.81,24.21,-2.635361671447754,-2.6329758167266846,-2.818143367767334,-2.4532768726348877,496
IOAB,NB(PPM),13,27.0,24.24,30.0,-2.519773006439209,-2.5121634006500244,-2.792314052581787,-2.244776725769043,523
IOAB,NB(PPM),14,36.0,30.016417044272306,45.0,-2.2290828227996826,-2.2706706523895264,-2.507699728012085,-1.988229513168335,475
IOAB,NB(PPM),15,59.8,45.1,1060.5,-2.131720781326294,-2.1501221656799316,-2.3268675804138184,-1.9755616188049316,493
BABB,SIO2(WT%),1,44.03,40.1,45.2346105560129,-1.4384123086929321,-1.522707223892212,-1.6916160583496094,-1.2917450666427612,673
BABB,SIO2(WT%),2,46.03,45.24,46.7,-1.543391227722168,-1.63614022731781,-1.9395811557769775,-1.3233287334442139,675
BABB,SIO2(WT%),3,47.17,46.71,47.59,-1.7639724016189575,-1.7672877311706543,-2.0971615314483643,-1.4189702272415161,673
BABB,SIO2(WT%),4,47.95,47.6,48.29,-1.5379902124404907,-1.5739620923995972,-1.8912789821624756,-1.261244773864746,672
BABB,SIO2(WT%),5,48.57,48.2943610979475,48.815,-0.9697107672691345,-1.0090153217315674,-1.2346374988555908,-0.7744288444519043,669
BABB,SIO2(WT%),6,49.05,48.82,49.27,-0.7755157947540283,-0.8216357827186584,-0.9591524600982666,-0.6457298398017883,674
BABB,SIO2(WT%),7,49.5,49.27954,49.7,-0.532336950302124,-0.5534003973007202,-0.6500760316848755,-0.45055899024009705,694
BABB,SIO2(WT%),8,49.92,49.7098124593075,50.1,-0.3218795657157898,-0.3088088631629944,-0.44235560297966003,-0.18534111976623535,654
BABB,SIO2(WT%),9,50.29,50.101,50.48,-0.1400141716003418,-0.10774130374193192,-0.20295438170433044,-0.0117179611697793,669
BABB,SIO2(WT%),10,50.72,50.485,50.96,0.03704726696014404,0.061744436621665955,-0.07888932526111603,0.1659819334745407,680
BABB,SIO2(WT%),11,51.206,50.9605265134862,51.44,0.13694725930690765,0.1854650229215622,0.05276353657245636,0.2697794437408447,667
BABB,SIO2(WT%),12,51.7,51.441368336914,51.95,0.17006874084472656,0.21276184916496277,0.09240955859422684,0.28854572772979736,678
BABB,SIO2(WT%),13,52.25,51.9514664370828,52.67,0.37616029381752014,0.41771647334098816,0.2691314220428467,0.543962836265564,664
BABB,SIO2(WT%),14,53.27,52.68,53.98,0.8074603080749512,0.8322171568870544,0.6768407821655273,0.9593324661254883,673
BABB,SIO2(WT%),15,54.87,53.9855403117046,60.0,0.9301773309707642,0.9528167247772217,0.8533645272254944,1.043235421180725,671
BABB,NB(PPM),1,1.173,0.0,2.0,0.36596885323524475,0.6788455247879028,-0.0005772039294242859,1.4020588397979736,531
BABB,NB(PPM),2,2.79,2.002,3.36,-0.39590486884117126,-0.41954517364501953,-0.5309879779815674,-0.2904593348503113,465
BABB,NB(PPM),3,4.229132683614945,3.38,5.0,-0.5419387817382812,-0.558470606803894,-0.6698486804962158,-0.4348351061344147,538
BABB,NB(PPM),4,5.8,5.01537611932569,6.6,-0.7605999708175659,-0.7957214117050171,-0.9430146813392639,-0.6307123303413391,464
BABB,NB(PPM),5,7.4,6.61,8.0,-0.8909624218940735,-0.9388649463653564,-1.068138837814331,-0.797207772731781,509
BABB,NB(PPM),6,8.9916435,8.012,9.5,-0.935957133769989,-0.9768626093864441,-1.106371283531189,-0.8380407691001892,480
BABB,NB(PPM),7,10.2,9.51,11.0,-0.8997768759727478,-0.9363939762115479,-1.027518630027771,-0.8398085236549377,505
BABB,NB(PPM),8,12.0,11.01,13.0,-0.8835779428482056,-0.9071776270866394,-0.9730250239372253,-0.829831063747406,552
BABB,NB(PPM),9,14.0,13.01,15.0,-0.8052046298980713,-0.820110559463501,-0.8723666667938232,-0.7535479068756104,476
BABB,NB(PPM),10,16.2,15.05,17.1193149541295,-0.7495032548904419,-0.7636153101921082,-0.8109604120254517,-0.6977311372756958,448
BABB,NB(PPM),11,18.9,17.1301434464806,20.8,-0.7073570489883423,-0.700753390789032,-0.7727205157279968,-0.6526222229003906,497
BABB,NB(PPM),12,22.8,20.81,24.21,-0.486227810382843,-0.49102574586868286,-0.5301103591918945,-0.4424336850643158,496
BABB,NB(PPM),13,27.0,24.24,30.0,-0.4432167708873749,-0.4424944818019867,-0.47637689113616943,-0.3955119848251343,523
BABB,NB(PPM),14,36.0,30.016417044272306,45.0,-0.40535542368888855,-0.4098116457462311,-0.4523482322692871,-0.3628491759300232,475
BABB,NB(PPM),15,59.8,45.1,1060.5,-0.36911827325820923,-0.3804505467414856,-0.41883525252342224,-0.3374479413032532,493
MORB,SR(PPM),1,93.0,0.524,108.0,0.9613837003707886,0.9583057761192322,0.7721623182296753,1.149418592453003,552
MORB,SR(PPM),2,124.0,108.041932173652,138.0,0.7287653684616089,0.7527567148208618,0.5583935976028442,0.9494181871414185,553
MORB,SR(PPM),3,150.0,138.047748261904,163.4,0.3897026777267456,0.42063581943511963,0.15911009907722473,0.6501067280769348,544
MORB,SR(PPM),4,175.0,163.5,185.0,-0.08614377677440643,-0.09889842569828033,-0.19848951697349548,-0.0005673001287505031,567
MORB,SR(PPM),5,196.0,185.13351,206.6,-0.3358466923236847,-0.33796611428260803,-0.4681844711303711,-0.1980777233839035,532
MORB,SR(PPM),6,221.0,206.72,235.0,-0.5162890553474426,-0.5258161425590515,-0.6766142249107361,-0.3620912432670593,559
MORB,SR(PPM),7,247.0,235.255,260.0,-0.7763898372650146,-0.7834102511405945,-0.9497649073600769,-0.6258100271224976,541
MORB,SR(PPM),8,274.1,260.172296,289.0,-0.8945621252059937,-0.9087275862693787,-1.1512761116027832,-0.6378313302993774,562
MORB,SR(PPM),9,304.0,290.0,313.0,-0.8146423101425171,-0.9385682940483093,-1.1876516342163086,-0.7350882887840271,536
