class,feature,mean_abs_shap,spearman_rho,spearman_p,q25,q75,low_q_mean_shap,high_q_mean_shap,delta_high_minus_low,direction,n_measured,n_missing,missing_rate,missing_mean_shap,class_rank
IOAB,NI(PPM),0.2559804,-0.8940747638164729,0.0,44.0,124.1,0.16712016,-0.43229046,-0.59941065,LOWER_VALUE_MORE_POSITIVE,7668,2418,0.23973825104104698,-0.22098742425441742,16
IOAB,CR(PPM),0.21711119,-0.5116646650847646,0.0,75.0,303.43,0.19810493,-0.14553156,-0.3436365,LOWER_VALUE_MORE_POSITIVE,7222,2864,0.2839579615308348,-0.22831414639949799,17
IOAB,SR(PPM),0.17541753,0.10853734977102679,4.986774742736336e-23,179.95630649999998,390.0,-0.28372833,-0.27154085,0.012187481,HIGHER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.1375863254070282,18
IOAB,Y(PPM),0.07191355,0.6888461933663349,0.0,23.4,36.0,-0.0539432,0.08908733,0.14303052,HIGHER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,-0.10168735682964325,19
MORB,SR(PPM),0.6527755,-0.8203304117459217,0.0,179.95630649999998,390.0,0.5551289,-1.0120153,-1.5671442,LOWER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.07127159088850021,1
MORB,BA(PPM),0.5215982,-0.8904167884519308,0.0,81.0,394.0,0.008675246,-1.0216216,-1.0302968,LOWER_VALUE_MORE_POSITIVE,7825,2261,0.2241721197699782,0.2159622311592102,2
MORB,FE_TOTAL(WT%),0.465349,-0.8317618299831252,0.0,10.10946,12.50722,0.339282,-0.6574862,-0.99676824,LOWER_VALUE_MORE_POSITIVE,10077,9,0.000892325996430696,1.0052030086517334,3
MORB,MGO(WT%),0.4529731,0.9139272812639003,0.0,5.2816094666395745,8.05,-0.72934157,0.40176508,1.1311066,HIGHER_VALUE_MORE_POSITIVE,10075,11,0.001090620662304184,0.8824994564056396,4
MORB,Y(PPM),0.43563315,0.9724691095365532,0.0,23.4,36.0,-1.0599815,0.59060746,1.650589,HIGHER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,-0.025095999240875244,5
MORB,CAO(WT%),0.4178465,0.9135221916094687,0.0,8.91,11.1,-0.75313246,0.31751502,1.0706475,HIGHER_VALUE_MORE_POSITIVE,10073,13,0.001288915328177672,0.7877103090286255,6
MORB,K2O(WT%),0.3981392,-0.6573747339856519,0.0,0.31,1.11575,0.21154684,-0.47229698,-0.68384385,LOWER_VALUE_MORE_POSITIVE,10050,36,0.003569303985722784,0.9036463499069214,7
MORB,TIO2(WT%),0.39452344,0.7598263452571647,0.0,1.31,2.7279225,-0.6278627,0.42137247,1.0492351,HIGHER_VALUE_MORE_POSITIVE,10078,8,0.000793178663493952,1.4074678421020508,8
MORB,NB(PPM),0.32744756,0.9098179276987024,0.0,6.0,21.81,-0.482471,0.70998794,1.1924589,HIGHER_VALUE_MORE_POSITIVE,7452,2634,0.2611540749553837,-0.1403270959854126,9
MORB,SIO2(WT%),0.23922846,0.19019321745223244,8.752569957654209e-83,48.14,51.56,-0.38547388,-0.23998535,0.14548853,HIGHER_VALUE_MORE_POSITIVE,10086,0,0.0,,10
MORB,NI(PPM),0.2307063,-0.6532721998487351,0.0,44.0,124.1,-0.04847045,-0.26822385,-0.2197534,LOWER_VALUE_MORE_POSITIVE,7668,2418,0.23973825104104698,0.33120083808898926,11
MORB,NA2O(WT%),0.21328828,0.7717511335464992,0.0,2.23,3.0,-0.3650927,0.09281499,0.45790768,HIGHER_VALUE_MORE_POSITIVE,10069,17,0.0016855046599246481,0.7135283946990967,12
MORB,ZR(PPM),0.17210573,0.4731097821207886,0.0,98.728685,194.0,-0.12512444,0.13206525,0.2571897,HIGHER_VALUE_MORE_POSITIVE,8099,1987,0.19700575054531033,-0.08470262587070465,13
MORB,CR(PPM),0.16286416,0.5683815509669279,0.0,75.0,303.43,0.025480904,0.28259692,0.25711602,HIGHER_VALUE_MORE_POSITIVE,7222,2864,0.2839579615308348,-0.1339970827102661,14
MORB,RB(PPM),0.143988,-0.6694113073010656,0.0,5.25,28.0,-0.048678298,-0.3331101,-0.2844318,LOWER_VALUE_MORE_POSITIVE,7908,2178,0.21594289113622844,0.0341220498085022,15
MORB,P2O5(WT%),0.14251223,0.5539962097247991,0.0,0.15,0.41,-0.08118145,0.1701265,0.25130796,HIGHER_VALUE_MORE_POSITIVE,9929,157,0.015566131271068808,1.0240620374679565,16
MORB,MNO(WT%),0.13797449,0.13033391403866199,4.5257869280728377e-39,0.16796267926630276,0.2,-0.09309074,-0.074424714,0.018666029,HIGHER_VALUE_MORE_POSITIVE,9982,104,0.010311322625421376,0.3974415063858032,17
MORB,AL2O3(WT%),0.122758076,0.4238199886066551,0.0,13.45,15.34,-0.20201178,-0.035425685,0.1665861,HIGHER_VALUE_MORE_POSITIVE,10079,7,0.000694031330557208,0.552891731262207,18
MORB,V(PPM),0.1217148,-0.1761814216792121,1.1946898190209959e-49,250.0,353.0,0.07714971,-0.02698487,-0.10413458,LOWER_VALUE_MORE_POSITIVE,6962,3124,0.30973626809438826,-0.12452097982168198,19
OIB,TIO2(WT%),1.2098417,0.9552689805545437,0.0,1.31,2.7279225,-1.8203619,1.5812259,3.4015877,HIGHER_VALUE_MORE_POSITIVE,10078,8,0.000793178663493952,-1.882084846496582,1
OIB,NB(PPM),0.7221615,0.8937249456978931,0.0,6.0,21.81,-1.7930814,0.23599797,2.0290794,HIGHER_VALUE_MORE_POSITIVE,7452,2634,0.2611540749553837,0.3407090902328491,2
OIB,BA(PPM),0.44098836,-0.8694385931782377,0.0,81.0,394.0,0.51113516,-0.9424841,-1.4536192,LOWER_VALUE_MORE_POSITIVE,7825,2261,0.2241721197699782,0.010106184519827366,3
OIB,MGO(WT%),0.33757165,0.8810209593214151,0.0,5.2816094666395745,8.05,-0.3980939,0.5201256,0.91821957,HIGHER_VALUE_MORE_POSITIVE,10075,11,0.001090620662304184,-0.643166184425354,4
OIB,CAO(WT%),0.33393434,0.8959111426371608,0.0,8.91,11.1,-0.50894547,0.4147165,0.92366195,HIGHER_VALUE_MORE_POSITIVE,10073,13,0.001288915328177672,-0.8032853007316589,5
OIB,SR(PPM),0.27065355,0.8510369161928742,0.0,179.95630649999998,390.0,-0.48045108,0.22039618,0.70084727,HIGHER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.11676985770463943,6
OIB,V(PPM),0.23806672,-0.9327028331523733,0.0,250.0,353.0,0.2957873,-0.62161195,-0.9173993,LOWER_VALUE_MORE_POSITIVE,6962,3124,0.30973626809438826,0.053477443754673004,7
OIB,NI(PPM),0.23459266,0.934392001662729,0.0,44.0,124.1,-0.35299015,0.46319577,0.81618595,HIGHER_VALUE_MORE_POSITIVE,7668,2418,0.23973825104104698,-0.16019994020462036,8
OIB,SIO2(WT%),0.2010036,0.23795693313483193,7.672472157936174e-130,48.14,51.56,0.08284479,0.3205624,0.2377176,HIGHER_VALUE_MORE_POSITIVE,10086,0,0.0,,9
OIB,FE_TOTAL(WT%),0.18685524,0.7051280750836072,0.0,10.10946,12.50722,-0.32585314,0.1368194,0.46267253,HIGHER_VALUE_MORE_POSITIVE,10077,9,0.000892325996430696,-0.604764997959137,10
OIB,Y(PPM),0.18667693,-0.44714622236453916,0.0,23.4,36.0,0.052865025,-0.13402994,-0.18689497,LOWER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,0.23239608108997345,11
OIB,K2O(WT%),0.15710887,-0.32020601249560177,2.304974528733664e-238,0.31,1.11575,-0.07455664,-0.1547465,-0.08018986,LOWER_VALUE_MORE_POSITIVE,10050,36,0.003569303985722784,-1.1682053804397583,12
OIB,NA2O(WT%),0.14048833,-0.38862577430258616,0.0,2.23,3.0,0.15189655,-0.042503044,-0.1943996,LOWER_VALUE_MORE_POSITIVE,10069,17,0.0016855046599246481,-0.6390120983123779,13
OIB,P2O5(WT%),0.14028977,0.7245520328349038,0.0,0.15,0.41,-0.13067573,0.17018202,0.30085775,HIGHER_VALUE_MORE_POSITIVE,9929,157,0.015566131271068808,0.03733919933438301,14
OIB,CR(PPM),0.1374616,0.016953453774585986,0.14969814501619588,75.0,303.43,-0.10893234,-0.12322901,-0.014296673,LOWER_VALUE_MORE_POSITIVE,7222,2864,0.2839579615308348,0.19044294953346252,15
OIB,AL2O3(WT%),0.12589078,-0.2890227095880957,3.646078836452433e-193,13.45,15.34,0.06393486,-0.044800833,-0.108735695,LOWER_VALUE_MORE_POSITIVE,10079,7,0.000694031330557208,0.29635223746299744,16
OIB,ZR(PPM),0.11733358,-0.4244882400331367,0.0,98.728685,194.0,0.09037403,-0.031445183,-0.12181921,LOWER_VALUE_MORE_POSITIVE,8099,1987,0.19700575054531033,0.07772058248519897,17
OIB,RB(PPM),0.07883587,0.0669989643473803,2.464801754267513e-09,5.25,28.0,0.020608103,0.04381973,0.023211626,HIGHER_VALUE_MORE_POSITIVE,7908,2178,0.21594289113622844,-0.11161209642887115,18
OIB,MNO(WT%),0.06321745,-0.44025410251205127,0.0,0.16796267926630276,0.2,0.037797883,-0.049164653,-0.086962536,LOWER_VALUE_MORE_POSITIVE,9982,104,0.010311322625421376,-0.4338858723640442,19
OPB,P2O5(WT%),0.90475136,-0.9522481241677212,0.0,0.15,0.41,0.37829152,-2.1803312,-2.5586228,LOWER_VALUE_MORE_POSITIVE,9929,157,0.015566131271068808,-1.2036004066467285,1
OPB,NB(PPM),0.3703816,-0.34588086694673925,1.9857525571661505e-208,6.0,21.81,-0.30492684,-0.5726908,-0.26776394,LOWER_VALUE_MORE_POSITIVE,7452,2634,0.2611540749553837,-0.17174988985061646,2
OPB,V(PPM),0.35868213,0.8181717605264769,0.0,250.0,353.0,-0.29938614,0.595201,0.89458716,HIGHER_VALUE_MORE_POSITIVE,6962,3124,0.30973626809438826,-0.3573310673236847,3
OPB,SIO2(WT%),0.33626664,-0.9156219923858971,0.0,48.14,51.56,0.22427008,-0.67693305,-0.90120316,LOWER_VALUE_MORE_POSITIVE,10086,0,0.0,,4
OPB,TIO2(WT%),0.3188562,0.6763301629092301,0.0,1.31,2.7279225,-0.5400135,0.2165022,0.7565157,HIGHER_VALUE_MORE_POSITIVE,10078,8,0.000793178663493952,-1.407828450202942,5
OPB,SR(PPM),0.30560422,-0.7533904067912063,0.0,179.95630649999998,390.0,0.1392012,-0.4861712,-0.6253724,LOWER_VALUE_MORE_POSITIVE,8243,1843,0.1827285346024192,-0.29375261068344116,6
OPB,ZR(PPM),0.30087164,-0.3488818212229561,1.606296180211232e-230,98.728685,194.0,0.21730356,-0.23549242,-0.45279598,LOWER_VALUE_MORE_POSITIVE,8099,1987,0.19700575054531033,-0.32520729303359985,7
OPB,K2O(WT%),0.30041555,0.6111969330351431,0.0,0.31,1.11575,-0.21396343,0.30839202,0.52235544,HIGHER_VALUE_MORE_POSITIVE,10050,36,0.003569303985722784,-0.6990598440170288,8
OPB,MGO(WT%),0.28733748,-0.7038457013719622,0.0,5.2816094666395745,8.05,0.06763636,-0.7229868,-0.7906232,LOWER_VALUE_MORE_POSITIVE,10075,11,0.001090620662304184,-1.5995948314666748,9
OPB,BA(PPM),0.2699515,-0.4112395101032403,0.0,81.0,394.0,-0.10440252,-0.30890644,-0.20450392,LOWER_VALUE_MORE_POSITIVE,7825,2261,0.2241721197699782,0.2174949198961258,10
OPB,AL2O3(WT%),0.24051882,-0.6304001211706047,0.0,13.45,15.34,0.17232707,-0.48226127,-0.65458834,LOWER_VALUE_MORE_POSITIVE,10079,7,0.000694031330557208,-2.2461540699005127,11
OPB,RB(PPM),0.21647388,-0.8046845480990654,0.0,5.25,28.0,0.040571228,-0.4142478,-0.45481902,LOWER_VALUE_MORE_POSITIVE,7908,2178,0.21594289113622844,0.014965684153139591,12
OPB,CAO(WT%),0.20311569,-0.6734160374771349,0.0,8.91,11.1,0.08560285,-0.24956515,-0.335168,LOWER_VALUE_MORE_POSITIVE,10073,13,0.001288915328177672,-0.7286232709884644,13
OPB,MNO(WT%),0.19690628,-0.5903406183270012,0.0,0.16796267926630276,0.2,0.09065003,-0.20087244,-0.29152247,LOWER_VALUE_MORE_POSITIVE,9982,104,0.010311322625421376,0.014516066759824753,14
OPB,CR(PPM),0.1729225,0.4928536059230536,0.0,75.0,303.43,-0.17487772,0.078941576,0.2538193,HIGHER_VALUE_MORE_POSITIVE,7222,2864,0.2839579615308348,-0.3284359872341156,15
OPB,NI(PPM),0.16518793,-0.403268505400433,8.037329227947196e-298,44.0,124.1,-0.015293523,-0.23069626,-0.21540274,LOWER_VALUE_MORE_POSITIVE,7668,2418,0.23973825104104698,-0.08608457446098328,16
OPB,NA2O(WT%),0.1306384,-0.1674254968587146,3.333737299370364e-64,2.23,3.0,-0.09255826,-0.115883544,-0.023325287,LOWER_VALUE_MORE_POSITIVE,10069,17,0.0016855046599246481,-0.8128753304481506,17
OPB,FE_TOTAL(WT%),0.1231093,-0.4836735072464459,0.0,10.10946,12.50722,-0.046020467,-0.1833562,-0.13733573,LOWER_VALUE_MORE_POSITIVE,10077,9,0.000892325996430696,-0.8258054256439209,18
OPB,Y(PPM),0.10800414,0.323825095544576,8.169939355260825e-192,23.4,36.0,-0.15029193,-0.07928612,0.071005814,HIGHER_VALUE_MORE_POSITIVE,7881,2205,0.21861986912552053,-0.05919807404279709,19
