class,feature,all_mean_abs_shap,all_measured_mean_abs_shap,trueclass_mean_abs_shap,trueclass_mean_signed_shap,trueclass_measured_mean_abs_shap,trueclass_measured_mean_signed_shap,trueclass_n,trueclass_measured_n,trueclass_missing_rate,rank_all,rank_all_measured,rank_trueclass,rank_trueclass_measured,rank_shift_missingness,rank_shift_trueclass
OPB,NA2O(WT%),0.1306384,0.12948656,0.08429042,-0.028720286,0.08429042,-0.028720286,518,518,0.0,17,16,19,19,-1,2
OPB,P2O5(WT%),0.90475136,0.90002584,0.46012804,0.2607057,0.45539516,0.26963764,518,515,0.00579150579150578,1,1,2,3,0,2
OPB,V(PPM),0.35868213,0.3592884,0.49372908,0.31799212,0.5396029,0.41819122,518,439,0.15250965250965254,3,3,1,1,0,-2
OPB,CR(PPM),0.1729225,0.11125115,0.20401958,-0.07854879,0.11558207,0.07445849,518,342,0.33976833976833976,15,19,13,16,4,1
OPB,NI(PPM),0.16518793,0.18916692,0.1369312,-0.062251277,0.13314153,-0.018103123,518,336,0.3513513513513513,16,15,15,14,-1,-2
OPB,RB(PPM),0.21647388,0.26666427,0.10305795,0.03237941,0.10580561,0.02524412,518,446,0.13899613899613905,12,11,17,17,-1,5
OPB,SR(PPM),0.30560422,0.3082372,0.2633793,0.06663164,0.26848823,0.09756248,518,467,0.09845559845559848,6,6,8,8,0,2
OPB,Y(PPM),0.10800414,0.12153344,0.08835384,-0.042721268,0.09248502,-0.041833356,518,464,0.10424710424710426,19,18,18,18,-1,-1
OPB,ZR(PPM),0.30087164,0.29490113,0.32410952,0.05227098,0.32349718,0.093987,518,467,0.09845559845559848,7,8,5,5,1,-2
OPB,NB(PPM),0.3703816,0.4374549,0.41545016,0.16657548,0.4973042,0.19656198,518,411,0.2065637065637066,2,2,3,2,0,0
OPB,BA(PPM),0.2699515,0.28509313,0.21334758,0.0866263,0.14850712,-0.01120488,518,411,0.2065637065637066,10,10,12,13,0,3
CFB,SIO2(WT%),0.2342948,0.2342948,0.2174849,0.08960037,0.2174849,0.08960037,4754,4754,0.0,7,7,9,10,0,3
CFB,TIO2(WT%),0.20438342,0.20377894,0.19204451,0.08020319,0.19204451,0.08020319,4754,4754,0.0,9,11,11,11,2,2
CFB,AL2O3(WT%),0.33928028,0.3388647,0.38291997,0.30356663,0.3827224,0.30390865,4754,4753,0.00021034917963824729,3,4,4,4,1,1
CFB,FE_TOTAL(WT%),0.5177706,0.51674956,0.54353553,0.34056047,0.54334205,0.34093988,4754,4753,0.00021034917963824729,1,2,2,2,1,1
CFB,CAO(WT%),0.15721644,0.15649077,0.13021447,0.07662415,0.13007838,0.07680376,4754,4753,0.00021034917963824729,12,12,15,15,0,3
CFB,MGO(WT%),0.21138139,0.21090232,0.25645146,0.17503878,0.25635767,0.17522332,4754,4753,0.00021034917963824729,8,9,8,8,1,0
CFB,MNO(WT%),0.07280314,0.07289242,0.082739316,0.03120082,0.0829181,0.03170565,4754,4725,0.006100126209507728,17,18,17,18,1,1
CFB,K2O(WT%),0.14463267,0.14436354,0.14449179,0.12189092,0.14432745,0.123124175,4754,4735,0.00399663441312581,13,14,12,12,1,-1
CFB,NA2O(WT%),0.32720968,0.32690603,0.3463284,0.12733865,0.3463284,0.12733865,4754,4754,0.0,5,5,6,6,0,1
CFB,P2O5(WT%),0.12663911,0.12160947,0.13686638,0.079479955,0.13646209,0.08102798,4754,4729,0.005258729490954961,15,15,14,14,0,-1
CFB,V(PPM),0.048792813,0.048344947,0.04348954,0.019149417,0.04346533,0.022394378,4754,3957,0.1676482961716449,19,19,19,19,0,0
CFB,CR(PPM),0.06728587,0.07938426,0.07732926,0.024946082,0.084244825,0.023631454,4754,4068,0.14429953723180478,18,17,18,17,-1,-1
CFB,NI(PPM),0.17878366,0.2108431,0.20829509,0.06348688,0.218519,0.07162348,4754,4447,0.06457719814892726,11,10,10,9,-1,-2
CFB,RB(PPM),0.1907285,0.21143043,0.26579112,0.20141478,0.28212035,0.21001534,4754,4243,0.10748843079511994,10,8,7,7,-2,-3
CFB,SR(PPM),0.14212945,0.15456197,0.13840361,0.09320315,0.1437921,0.09415942,4754,4307,0.09402608329827511,14,13,13,13,-1,-1
CFB,Y(PPM),0.100861035,0.09387093,0.09362581,0.02719462,0.09112828,0.04493873,4754,4221,0.11211611274716027,16,16,16,16,0,0
CFB,ZR(PPM),0.33015424,0.313088,0.37609988,0.2147629,0.36939037,0.2811334,4754,4318,0.09171224232225494,4,6,5,5,2,1
CFB,NB(PPM),0.3196138,0.36416367,0.39201954,0.30923784,0.42929593,0.38427016,4754,4087,0.14030290281867897,6,3,3,3,-3,-3
CFB,BA(PPM),0.5156111,0.60954785,0.6216235,0.43671128,0.6714899,0.49383324,4754,4300,0.09549852755574251,2,1,1,1,-1,-1
