PAPER_ID,DATABASE,CV_GROUP_V4,PAPER_DOI,CITATION,PAPER_FIRST_AUTHOR,PAPER_YEAR,N_SAMPLES
PAPER|GEOROC|CITATION_ID|17670,GEOROC,PAPER|GEOROC|CITATION_ID|17670,,[17670] SIMS K. W. W. (2013),SIMS,2013,22
PAPER|GEOROC|CITATION_ID|18602,GEOROC,PAPER|GEOROC|CITATION_ID|18602,,[18602] SOAGER N.(2013)  [GeoReM [7576] ],SOAGER,2013,2
PAPER|GEOROC|CITATION_ID|16923,GEOROC,PAPER|GEOROC|CITATION_ID|16923,,[16923] TAKAHASHI T.(2013)  [GeoReM [7451] ],TAKAHASHI,2013,4
PAPER|PETDB|CITATION_SHA1|0734b0c61ced5f9f,PetDB,PAPER|PETDB|CITATION_SHA1|0734b0c61ced5f9f,,"Teng, F., Dauphas, N., ... Marty, B. (2013). IRON ISOTOPIC SYSTEMATICS OF OCEANIC BASALT. GEOCHIM COSMOCHIM ACTA, 107, 12-26.",TENG,2013,1
PAPER|GEOROC|CITATION_ID|17287,GEOROC,PAPER|GEOROC|CITATION_ID|17287,,[17287] TILL C. B. (2013),TILL,2013,83
PAPER|GEOROC|CITATION_ID|16975,GEOROC,PAPER|GEOROC|CITATION_ID|16975,,[16975] VLASTELIC I. (2013),VLASTELIC,2013,8
PAPER|GEOROC|CITATION_ID|17311,GEOROC,PAPER|GEOROC|CITATION_ID|17311,,[17311] VYE-BROWN C. (2013),VYEBROWN,2013,25
PAPER|GEOROC|CITATION_ID|17609,GEOROC,PAPER|GEOROC|CITATION_ID|17609,,[17609] WALTERS R. I. (2013),WALTERS,2013,49
PAPER|GEOROC|CITATION_ID|17460,GEOROC,PAPER|GEOROC|CITATION_ID|17460,,[17460] WATT S. F. L. (2013),WATT,2013,8
PAPER|GEOROC|CITATION_ID|17002,GEOROC,PAPER|GEOROC|CITATION_ID|17002,,[17002] WELSCH B. (2013),WELSCH,2013,11
PAPER|PETDB|CITATION_SHA1|c4773d98c3babea8,PetDB,PAPER|PETDB|CITATION_SHA1|c4773d98c3babea8,,"Wilson, S., Murton, B. J., ... Taylor, R. N. (2013). MANTLE COMPOSITION CONTROLS THE DEVELOPMENT OF AN OCEANIC CORE COMPLEX. GEOCHEM GEOPHYS GEOSYST, 40(4), 979-995.",WILSON,2013,124
PAPER|PETDB|CITATION_SHA1|45e7c08b7911d411,PetDB,PAPER|PETDB|CITATION_SHA1|45e7c08b7911d411,,"Yang Yang, A., Zhao, T., ... Wang, G. (2013). Os ISOTOPIC COMPOSITIONS OF MORBS FROM THE ULTRA-SLOW SPREADING SOUTHWEST INDIAN RIDGE. LITHOS, 179, 28-35.",YANGYANG,2013,1
PAPER|GEOROC|CITATION_ID|17883,GEOROC,PAPER|GEOROC|CITATION_ID|17883,,[17883] ZANON V. (2013),ZANON,2013,22
PAPER|PETDB|CITATION_SHA1|f63826756ee2d027,PetDB,PAPER|PETDB|CITATION_SHA1|f63826756ee2d027,,"Beltenev, V. E., Skolotnev, S., ... Rozhdestvenskaya, I. (2014). NEW CHEMICAL AND ISOTOPIC DATA FOR BASALTS FROM THE AXIAL SEGMENT OF THE MID-ATLANTIC RIDGE BETWEEN THE VEMA AND MERCURY FRACTURE ZONES. DOKLADY EARTH SCIENCES, 459(2), 1488-1494.",BELTENEV,2014,26
PAPER|GEOROC|CITATION_ID|18213,GEOROC,PAPER|GEOROC|CITATION_ID|18213,,[18213] BERTRAND H.(2014)  [GeoReM [7947] ],BERTRAND,2014,17
PAPER|GEOROC|CITATION_ID|19118,GEOROC,PAPER|GEOROC|CITATION_ID|19118,,[19118] BROUNCE M. N. (2014),BROUNCE,2014,12
PAPER|GEOROC|CITATION_ID|18214,GEOROC,PAPER|GEOROC|CITATION_ID|18214,,[18214] CALLEGARO S. (2014),CALLEGARO,2014,104
PAPER|GEOROC|CITATION_ID|18385,GEOROC,PAPER|GEOROC|CITATION_ID|18385,,[18385] CHENG LI-LU (2014),CHENG,2014,33
PAPER|GEOROC|CITATION_ID|18211,GEOROC,PAPER|GEOROC|CITATION_ID|18211,,[18211] CIRRINCIONE R.(2014)  [GeoReM [7948] ],CIRRINCIONE,2014,13
PAPER|GEOROC|CITATION_ID|24142,GEOROC,PAPER|GEOROC|CITATION_ID|24142,,[24142] DESTA M. T. (2014),DESTA,2014,2
PAPER|GEOROC|CITATION_ID|18591,GEOROC,PAPER|GEOROC|CITATION_ID|18591,,[18591] DI MURO A.(2014)  [GeoReM [7885] ],DI,2014,9
PAPER|GEOROC|CITATION_ID|18400,GEOROC,PAPER|GEOROC|CITATION_ID|18400,,[18400] DURAISWAMI R. A. (2014),DURAISWAMI,2014,12
PAPER|GEOROC|CITATION_ID|18961,GEOROC,PAPER|GEOROC|CITATION_ID|18961,,[18961] ESPANON V. R.(2014)  [GeoReM [8382] ],ESPANON,2014,40
PAPER|GEOROC|CITATION_ID|18538,GEOROC,PAPER|GEOROC|CITATION_ID|18538,,[18538] GANGULY S. (2014),GANGULY,2014,51
