metric,estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
accuracy,0.8313537191475023,0.7939989717957835,0.8651707430266911
balanced_accuracy,0.7050136443236295,0.6520115411321937,0.7676544864580032
macro_f1,0.6961961459811181,0.631784973963346,0.729729035488642
weighted_f1,0.831941580894549,0.7912443489659697,0.8678715982853084
