model,test_database,n_samples,n_publications,publication_equal_recall,ci_low,ci_high
Mixed-source training,GEOROC,150,4,0.3758944834764506,0.0972222222222222,0.6545667447306791
Mixed-source training,PetDB,757,61,0.8588353313353313,0.7847867869835082,0.9227231893789272
GEOROC-only training,GEOROC,150,4,0.0239640255009107,0.0,0.0614754098360655
GEOROC-only training,PetDB,757,61,0.0761990664811687,0.0321851123246629,0.1316866695002362
