accuracy,balanced_accuracy,macro_f1,weighted_f1
0.845128453708192,0.7065727245488993,0.678647576387392,0.8517714866866859
0.8460885076021405,0.6972738516372006,0.6825862678283243,0.8457480058754945
0.8368385345997287,0.7132453574263029,0.6988480452246764,0.836980926388037
0.8441500446561476,0.6526367914464188,0.6441522927136415,0.845237147082106
0.8046013236684526,0.651894009075972,0.6528127212952279,0.8056627418615759
0.8237130734128573,0.6995645680041036,0.6892221675649246,0.8232737674445124
0.8067574310357117,0.7493701916547197,0.6347865372621917,0.8015311804520733
0.833536734195753,0.7009919134318473,0.6963339129271183,0.835172486156439
0.8218738540520719,0.6851622796266175,0.6784108850713566,0.8232090354209063
0.8385108686599484,0.6835067046946559,0.6825436232541748,0.8374908468089269
0.8187633262260128,0.7339264661391047,0.691961531963311,0.8219377528361003
0.824290780141844,0.7136758009743003,0.6586045455072148,0.8276552138426844
0.8418024151065726,0.732160145600504,0.7382444393675267,0.8398918225285014
0.8547859922178989,0.7098828761185139,0.6813065082954819,0.8578109169409932
0.7891902107152982,0.6888673567746363,0.6636092468758199,0.790253738810134
0.8380631578947368,0.7073962143885125,0.6909541693244854,0.8373420479908424
0.8270261076622162,0.736640901486191,0.7275694196158566,0.826524738101659
0.8495656531907785,0.7266704442401861,0.6870996408137997,0.8547943204733515
0.8211077191452246,0.6585987952801511,0.6389851204648452,0.8231482732473336
0.8275832621690863,0.7094610078446109,0.7010706476862151,0.8297272478136448
0.8017635532331809,0.7304686099538704,0.7240333838691934,0.7988240176343699
0.824240031583103,0.6673149902949322,0.646306757133648,0.8260968467260894
0.8455876656078097,0.726517676157731,0.694552462642533,0.8481668375003943
0.8390561718612431,0.6775996786740489,0.6596846673781039,0.8429312106614977
0.8646175340551868,0.7117207509990544,0.7019922026522942,0.8652096877908091
0.8462073160135546,0.7744701163321868,0.6826931533778364,0.8540086805078079
0.8511848341232228,0.7090525991404371,0.6700830425308193,0.8543457727072034
0.8520413087539813,0.7429638088688548,0.7308888699023292,0.853282942555446
0.8314767663908339,0.6860181047500757,0.6647909004654202,0.8318220546876886
0.8271813749875634,0.7371285885762413,0.743215923733753,0.8236724148442147
0.8334195997239475,0.6844105280963498,0.6859935090100393,0.8276447432194772
0.8158785417271057,0.676978544726555,0.6267484403334422,0.8252463361220155
0.8365141411818809,0.6714034191192157,0.6665357727147896,0.8352500115427707
0.8404959950708565,0.7247065200366132,0.7157962554716176,0.8407521742044762
0.8285578972294577,0.6726133034590887,0.677797535067052,0.826551683321992
0.841577756223731,0.732611040880639,0.7231661644514815,0.8391020836111457
0.8383233532934131,0.6964944862720978,0.679433462613015,0.8380314032406141
0.8406663180697692,0.6920765677985375,0.6808946749666556,0.8449013698864631
0.8425870476516383,0.7042062786838,0.6800505441056599,0.8481244282025591
0.846983253039688,0.7098828879824299,0.6774831297913487,0.8475008863683622
0.8238345650938033,0.7112766160356335,0.6893461056651535,0.8228874671315392
0.8367971085007299,0.7037459013432701,0.681597162973484,0.8390561932510803
0.8365310160887894,0.7430400720243535,0.7049163633479771,0.8422276896249129
0.8215218021850527,0.6885897403648005,0.6755258750171926,0.8246756178550865
0.8463743414936473,0.6793704287980511,0.6857741645485992,0.846062299746347
0.813266097750194,0.7113839703379242,0.6706956084189751,0.8166014665801432
0.821565510146825,0.7069525484930663,0.7055934669574264,0.8191179646676843
0.853025693035835,0.7434293412521704,0.6645697546426836,0.8613548398362499
0.870698229560374,0.715561926233516,0.6956828016442049,0.8755038021301382
0.818808504462666,0.7604957260873801,0.6973936556607979,0.8150205164480117
0.8676346316355535,0.7611809191941408,0.7054979592602676,0.8729953238019681
0.8208396470273643,0.6750893644021938,0.6857596770869676,0.817583464357049
0.8120451934124856,0.7332871344881883,0.7181113736034874,0.810827449265889
0.834663899089893,0.7277060273170157,0.703683121326649,0.8332677019986847
0.8371969091393552,0.7011756024487471,0.6820271100858848,0.8404277463067992
0.8487954894925679,0.7657700178076469,0.6981354718424961,0.8553425443533583
0.8059743421668696,0.6903897062064904,0.6587746490540014,0.8012378906549958
0.8583234946871311,0.679007660217289,0.6492450152348903,0.8620718438095002
0.8308453467542438,0.7220686726980994,0.6949370783808646,0.8319268285622986
0.8400409545561944,0.7300652945502792,0.7014177945981714,0.8386794419078785
0.8499819037278321,0.7862002313976749,0.7261809563885229,0.8551254312320078
0.8031118504746061,0.7157905354871414,0.705082743471372,0.8007856607913217
0.832366154998128,0.7586883727137741,0.7177445767970541,0.8354520671095707
0.8158537612669531,0.6808843403911967,0.6288167086856828,0.8252098289442555
0.7993651854326762,0.664818700749696,0.6205521274251516,0.798359385344846
0.8139013452914798,0.713147489944237,0.7069488284565948,0.812598328397428
0.8502564102564103,0.7435245660893591,0.725354972213107,0.8516747999361763
0.8313736736449671,0.7516525478181204,0.7462307380085875,0.8298632532673869
