subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,learning_rate,colsample_bytree,config_id,fold,n_train,n_valid,n_train_publications,n_valid_publications,n_features,completeness_threshold,selected_features,best_iteration,accuracy,balanced_accuracy,macro_f1,weighted_f1
0.7,2.0,0.1,1,8,0.02,0.9,5,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),830,0.8350250845875627,0.674378264273914,0.6692070835290495,0.8306182230094766
0.7,2.0,0.1,1,8,0.02,0.9,5,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),835,0.8047949373250578,0.6480421428913187,0.6703327878318794,0.8022484222592066
0.7,2.0,0.1,1,8,0.02,0.9,5,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),834,0.8169241411113674,0.7372898788686568,0.7352165246578015,0.8147913790528143
0.8,5.0,1.0,3,8,0.02,0.8,6,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1564,0.8482982924846091,0.746992809637697,0.7516535032944094,0.8476951168178248
0.8,5.0,1.0,3,8,0.02,0.8,6,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1317,0.8330416520826042,0.6790403479724693,0.6689808546192016,0.8291866719216292
0.8,5.0,1.0,3,8,0.02,0.8,6,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1192,0.8022392600705853,0.6515842593275016,0.6674048334601514,0.8003414909719315
0.8,5.0,1.0,3,8,0.02,0.8,6,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1208,0.8123126585197141,0.7326135913556804,0.7268358603613732,0.8105531478962775
0.9,1.0,0.1,10,3,0.03,1.0,7,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1798,0.8249506330584272,0.7540112574286898,0.7244057923382328,0.8286417624538078
0.9,1.0,0.1,10,3,0.03,1.0,7,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.7978065569945164,0.6774194736687746,0.6371407845979944,0.8008042813512288
0.9,1.0,0.1,10,3,0.03,1.0,7,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1799,0.7663380795910917,0.6714577358673463,0.6420078025213218,0.771467661589513
0.9,1.0,0.1,10,3,0.03,1.0,7,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),1797,0.7680424256398433,0.725044168840537,0.6776959602764376,0.773336536446196
0.9,5.0,0.0,3,5,0.08,0.7,8,0,25462,8609,1339,449,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),759,0.850040655128354,0.749989481547312,0.7554612889537631,0.8497266525415219
0.9,5.0,0.0,3,5,0.08,0.7,8,1,25500,8571,1352,436,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),572,0.8230078170575196,0.6743788719826482,0.6596728267526641,0.8201234421882906
0.9,5.0,0.0,3,5,0.08,0.7,8,2,25854,8217,1333,455,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),610,0.8052817329925763,0.6769071900528438,0.6820877550312963,0.8047443988315816
0.9,5.0,0.0,3,5,0.08,0.7,8,3,25397,8674,1340,448,19,10,SIO2(WT%)|TIO2(WT%)|AL2O3(WT%)|FE_TOTAL(WT%)|CAO(WT%)|MGO(WT%)|MNO(WT%)|K2O(WT%)|NA2O(WT%)|P2O5(WT%)|V(PPM)|CR(PPM)|NI(PPM)|RB(PPM)|SR(PPM)|Y(PPM)|ZR(PPM)|NB(PPM)|BA(PPM),592,0.8094304818999308,0.7270874614839717,0.7214642342455622,0.8090873258555258
