class,n_samples,n_publications,precision,sample_recall,f1,publication_equal_recall,publication_equal_recall_ci_low,publication_equal_recall_ci_high
CAB,516,49,0.824607329842932,0.6104651162790697,0.7015590200445434,0.5600142354901438,0.4597235457870462,0.6602395016387866
IAB,563,32,0.5333333333333333,0.7531083481349912,0.6244477172312224,0.7105588950357035,0.5863144379599904,0.8200662054285366
IOAB,63,9,0.8615384615384616,0.8888888888888888,0.875,0.9090909090909091,0.7609427609427608,1.0
BABB,119,10,0.44155844155844154,0.5714285714285714,0.4981684981684982,0.7050048698768895,0.45965424361072155,0.9213261648745519
MORB,1193,71,0.7636363636363637,0.7041072925398156,0.7326646314871348,0.6975851034461809,0.6101588322972819,0.7832289530894051
OIB,3342,140,0.8740469655382739,0.8575703171753442,0.8657302522277601,0.8609680119058836,0.8139220068991626,0.9028814135082622
OPB,323,12,0.4,0.35294117647058826,0.375,0.3577185049186273,0.14851430902838492,0.580857398259861
CFB,5752,203,0.8924453622440199,0.9015994436717664,0.8969990486897864,0.8369642906098387,0.798822664252268,0.8726040050917566
